,w,p(w)
0,0.0,9.5367431640625e-07
1,1.0,9.5367431640625e-07
2,2.0,9.5367431640625e-07
3,3.0,1.9073486328125e-06
4,4.0,1.9073486328125e-06
5,5.0,2.86102294921875e-06
6,6.0,3.814697265625e-06
7,7.0,4.76837158203125e-06
8,8.0,5.7220458984375e-06
9,9.0,7.62939453125e-06
10,10.0,9.5367431640625e-06
11,11.0,1.1444091796875e-05
12,12.0,1.430511474609375e-05
13,13.0,1.71661376953125e-05
14,14.0,2.09808349609375e-05
15,15.0,2.574920654296875e-05
16,16.0,3.0517578125e-05
17,17.0,3.62396240234375e-05
18,18.0,4.38690185546875e-05
19,19.0,5.14984130859375e-05
20,20.0,6.103515625e-05
21,21.0,7.152557373046875e-05
22,22.0,8.296966552734375e-05
23,23.0,9.632110595703125e-05
24,24.0,0.00011157989501953125
25,25.0,0.00012874603271484375
26,26.0,0.00014781951904296875
27,27.0,0.0001697540283203125
28,28.0,0.00019359588623046875
29,29.0,0.00022029876708984375
30,30.0,0.00025081634521484375
31,31.0,0.00028324127197265625
32,32.0,0.00031948089599609375
33,33.0,0.0003604888916015625
34,34.0,0.00040435791015625
35,35.0,0.00045299530029296875
36,36.0,0.0005064010620117188
37,37.0,0.0005636215209960938
38,38.0,0.0006265640258789062
39,39.0,0.0006952285766601562
40,40.0,0.0007686614990234375
41,41.0,0.0008478164672851562
42,42.0,0.000934600830078125
43,43.0,0.001026153564453125
44,44.0,0.001125335693359375
45,45.0,0.0012331008911132812
46,46.0,0.0013456344604492188
47,47.0,0.0014667510986328125
48,48.0,0.0015964508056640625
49,49.0,0.0017328262329101562
50,50.0,0.0018777847290039062
51,51.0,0.0020322799682617188
52,52.0,0.002193450927734375
53,53.0,0.0023641586303710938
54,54.0,0.002544403076171875
55,55.0,0.0027322769165039062
56,56.0,0.0029287338256835938
57,57.0,0.00313568115234375
58,58.0,0.00334930419921875
59,59.0,0.0035724639892578125
60,60.0,0.0038061141967773438
61,61.0,0.0040454864501953125
62,62.0,0.004294395446777344
63,63.0,0.0045528411865234375
64,64.0,0.004817008972167969
65,65.0,0.005089759826660156
66,66.0,0.005370140075683594
67,67.0,0.0056552886962890625
68,68.0,0.005948066711425781
69,69.0,0.006247520446777344
70,70.0,0.006550788879394531
71,71.0,0.00685882568359375
72,72.0,0.007172584533691406
73,73.0,0.007487297058105469
74,74.0,0.007805824279785156
75,75.0,0.008128166198730469
76,76.0,0.008448600769042969
77,77.0,0.008770942687988281
78,78.0,0.00909423828125
79,79.0,0.009413719177246094
80,80.0,0.009733200073242188
81,81.0,0.010049819946289062
82,82.0,0.0103607177734375
83,83.0,0.010667800903320312
84,84.0,0.0109710693359375
85,85.0,0.011264801025390625
86,86.0,0.011551856994628906
87,87.0,0.011832237243652344
88,88.0,0.012101173400878906
89,89.0,0.012360572814941406
90,90.0,0.01261138916015625
91,91.0,0.012846946716308594
92,92.0,0.013071060180664062
93,93.0,0.013283729553222656
94,94.0,0.013479232788085938
95,95.0,0.013662338256835938
96,96.0,0.013830184936523438
97,97.0,0.013979911804199219
98,98.0,0.0141143798828125
