,w,p(w)
99,99.0,0.014233589172363281
100,100.0,0.014332771301269531
101,101.0,0.014414787292480469
102,102.0,0.0144805908203125
103,103.0,0.014525413513183594
104,104.0,0.014553070068359375
105,105.0,0.01456451416015625
106,106.0,0.014553070068359375
107,107.0,0.014525413513183594
108,108.0,0.0144805908203125
109,109.0,0.014414787292480469
110,110.0,0.014332771301269531
111,111.0,0.014233589172363281
112,112.0,0.0141143798828125
113,113.0,0.013979911804199219
114,114.0,0.013830184936523438
115,115.0,0.013662338256835938
116,116.0,0.013479232788085938
117,117.0,0.013283729553222656
118,118.0,0.013071060180664062
119,119.0,0.012846946716308594
120,120.0,0.01261138916015625
121,121.0,0.012360572814941406
122,122.0,0.012101173400878906
123,123.0,0.011832237243652344
124,124.0,0.011551856994628906
125,125.0,0.011264801025390625
126,126.0,0.0109710693359375
127,127.0,0.010667800903320312
128,128.0,0.0103607177734375
129,129.0,0.010049819946289062
130,130.0,0.009733200073242188
131,131.0,0.009413719177246094
132,132.0,0.00909423828125
133,133.0,0.008770942687988281
134,134.0,0.008448600769042969
135,135.0,0.008128166198730469
136,136.0,0.007805824279785156
137,137.0,0.007487297058105469
138,138.0,0.007172584533691406
139,139.0,0.00685882568359375
140,140.0,0.006550788879394531
141,141.0,0.006247520446777344
142,142.0,0.005948066711425781
143,143.0,0.0056552886962890625
144,144.0,0.005370140075683594
145,145.0,0.005089759826660156
146,146.0,0.004817008972167969
147,147.0,0.0045528411865234375
148,148.0,0.004294395446777344
149,149.0,0.0040454864501953125
150,150.0,0.0038061141967773438
151,151.0,0.0035724639892578125
152,152.0,0.00334930419921875
153,153.0,0.00313568115234375
154,154.0,0.0029287338256835938
155,155.0,0.0027322769165039062
156,156.0,0.002544403076171875
157,157.0,0.0023641586303710938
158,158.0,0.002193450927734375
159,159.0,0.0020322799682617188
160,160.0,0.0018777847290039062
161,161.0,0.0017328262329101562
162,162.0,0.0015964508056640625
163,163.0,0.0014667510986328125
164,164.0,0.0013456344604492188
165,165.0,0.0012331008911132812
166,166.0,0.001125335693359375
167,167.0,0.001026153564453125
168,168.0,0.000934600830078125
169,169.0,0.0008478164672851562
170,170.0,0.0007686614990234375
171,171.0,0.0006952285766601562
172,172.0,0.0006265640258789062
173,173.0,0.0005636215209960938
174,174.0,0.0005064010620117188
175,175.0,0.00045299530029296875
176,176.0,0.00040435791015625
177,177.0,0.0003604888916015625
178,178.0,0.00031948089599609375
179,179.0,0.00028324127197265625
180,180.0,0.00025081634521484375
181,181.0,0.00022029876708984375
182,182.0,0.00019359588623046875
183,183.0,0.0001697540283203125
184,184.0,0.00014781951904296875
185,185.0,0.00012874603271484375
186,186.0,0.00011157989501953125
187,187.0,9.632110595703125e-05
188,188.0,8.296966552734375e-05
189,189.0,7.152557373046875e-05
190,190.0,6.103515625e-05
191,191.0,5.14984130859375e-05
192,192.0,4.38690185546875e-05
193,193.0,3.62396240234375e-05
194,194.0,3.0517578125e-05
195,195.0,2.574920654296875e-05
196,196.0,2.09808349609375e-05
197,197.0,1.71661376953125e-05
198,198.0,1.430511474609375e-05
199,199.0,1.1444091796875e-05
200,200.0,9.5367431640625e-06
201,201.0,7.62939453125e-06
202,202.0,5.7220458984375e-06
203,203.0,4.76837158203125e-06
204,204.0,3.814697265625e-06
205,205.0,2.86102294921875e-06
206,206.0,1.9073486328125e-06
207,207.0,1.9073486328125e-06
208,208.0,9.5367431640625e-07
209,209.0,9.5367431640625e-07
210,210.0,9.5367431640625e-07
